x, y, z, red, green, blue, intensity
-1.8855, -0.044, -13.0466, 205, 205, 20, 1
-1.86037, -0.0508654, -13.0524, 205, 205, 20, 1
-1.81986, -0.0517807, -13.0507, 205, 205, 20, 1
-1.78356, -0.0440349, -13.0498, 205, 205, 20, 1
-1.9306, -0.0137, -13.0415, 205, 205, 20, 1
-1.8976, -0.0379, -13.0419, 205, 205, 20, 1
-1.76506, -0.0375625, -13.0501, 205, 205, 20, 1
-1.74574, -0.0274, -13.0519, 205, 205, 20, 1
-1.70105, 0.013, -13.0464, 205, 205, 20, 1
-1.736, 0.0584999, -13.0595, 205, 205, 20, 1
-1.7465, 0.2735, -13.041, 205, 205, 20, 1
-1.88552, -0.04198, -13.0222, 205, 205, 20, 1
-1.86103, -0.0489569, -13.0197, 205, 205, 20, 1
-1.82118, -0.0508945, -13.0204, 205, 205, 20, 1
-1.78694, -0.0445435, -13.0199, 205, 205, 20, 1
-1.93105, -0.01175, -13.019, 205, 205, 20, 1
-1.90527, -0.0307329, -13.0148, 205, 205, 20, 1
-1.76752, -0.0375833, -13.0174, 205, 205, 20, 1
-1.74573, -0.0270765, -13.0181, 205, 205, 20, 1
-1.96715, 0.019, -13.0115, 205, 205, 20, 1
-1.95208, 0.00566666, -13.0085, 205, 205, 20, 1
-1.7324, 0.0145, -13.0163, 205, 205, 20, 1
-1.70181, 0.0124999, -13.0243, 205, 205, 20, 1
-1.664, 0.0305, -13.0055, 205, 205, 20, 1
-1.734, 0.0595001, -13.0205, 205, 205, 20, 1
-1.7034, 0.0557, -13.0189, 205, 205, 20, 1
-1.67206, 0.0682446, -13.016, 205, 205, 20, 1
-1.69233, 0.100833, -13.0058, 205, 205, 20, 1
-1.66197, 0.0989412, -13.0168, 205, 205, 20, 1
-1.65, 0.1405, -13.0105, 205, 205, 20, 1
-1.65523, 0.185454, -13.0096, 205, 205, 20, 1
-1.6882, 0.233275, -13.0108, 205, 205, 20, 1
-1.67215, 0.214206, -13.0117, 205, 205, 20, 1
-1.818, 0.2795, -13.0005, 205, 205, 20, 1
-1.76527, 0.277636, -13.0233, 205, 205, 20, 1
-1.7403, 0.270203, -13.0176, 205, 205, 20, 1
-1.70817, 0.251331, -13.015, 205, 205, 20, 1
-1.808, 0.28375, -13.003, 205, 205, 20, 1
-1.77541, 0.282853, -13.0151, 205, 205, 20, 1
-1.756, 0.2825, -13.0085, 205, 205, 20, 1
-1.8827, -0.0411, -12.9822, 205, 205, 20, 1
-1.8589, -0.047281, -12.9804, 205, 205, 20, 1
-1.82193, -0.0495294, -12.9795, 205, 205, 20, 1
-1.78916, -0.0445645, -12.9814, 205, 205, 20, 1
-1.93039, -0.00948594, -12.9799, 205, 205, 20, 1
-1.90101, -0.0309624, -12.9795, 205, 205, 20, 1
-1.868, -0.0375, -12.9655, 205, 205, 20, 1
-1.76934, -0.0374, -12.9786, 205, 205, 20, 1
-1.74364, -0.024734, -12.9793, 205, 205, 20, 1
-1.676, -0.000500105, -12.9865, 205, 205, 20, 1
-1.96957, 0.0258044, -12.9765, 205, 205, 20, 1
-1.95114, 0.00706862, -12.9795, 205, 205, 20, 1
-1.73, 0.00949996, -12.9765, 205, 205, 20, 1
-1.68712, 0.03375, -12.9668, 205, 205, 20, 1
-1.674, 0.0267, -12.9871, 205, 205, 20, 1
-1.98671, 0.0552647, -12.973, 205, 205, 20, 1
-1.731, 0.0495001, -12.9775, 205, 205, 20, 1
-1.68494, 0.0490294, -12.9794, 205, 205, 20, 1
-1.67639, 0.0540652, -12.9824, 205, 205, 20, 1
-1.99771, 0.115071, -12.9786, 205, 205, 20, 1
-1.73267, 0.102833, -12.9758, 205, 205, 20, 1
-1.6925, 0.094, -12.9848, 205, 205, 20, 1
-1.65637, 0.108875, -12.9866, 205, 205, 20, 1
-1.99433, 0.134119, -12.9694, 205, 205, 20, 1
-1.653, 0.141083, -12.9816, 205, 205, 20, 1
-1.65856, 0.187937, -12.9844, 205, 205, 20, 1
-1.68875, 0.232696, -12.98, 205, 205, 20, 1
-1.67267, 0.213241, -12.9793, 205, 205, 20, 1
-1.89475, 0.2565, -12.9609, 205, 205, 20, 1
-1.85395, 0.2755, -12.9691, 205, 205, 20, 1
-1.82845, 0.2793, -12.9741, 205, 205, 20, 1
-1.76775, 0.278143, -12.97, 205, 205, 20, 1
-1.73662, 0.269623, -12.9833, 205, 205, 20, 1
-1.70914, 0.251437, -12.9808, 205, 205, 20, 1
-1.845, 0.2805, -12.9765, 205, 205, 20, 1
-1.81854, 0.282833, -12.9779, 205, 205, 20, 1
-1.77982, 0.284282, -12.9783, 205, 205, 20, 1
-1.74789, 0.283611, -12.9722, 205, 205, 20, 1
-1.881, -0.0404999, -12.9595, 205, 205, 20, 1
-1.85904, -0.0451832, -12.9407, 205, 205, 20, 1
-1.81883, -0.0472965, -12.9394, 205, 205, 20, 1
-1.78879, -0.0432241, -12.9395, 205, 205, 20, 1
-1.7374, -0.0509, -12.9305, 205, 205, 20, 1
-1.93042, -0.00678306, -12.9411, 205, 205, 20, 1
-1.90005, -0.0285, -12.9396, 205, 205, 20, 1
-1.87714, -0.0395, -12.9351, 205, 205, 20, 1
-1.771, -0.0370454, -12.9413, 205, 205, 20, 1
-1.74545, -0.02465, -12.9405, 205, 205, 20, 1
-1.96793, 0.0266207, -12.9416, 205, 205, 20, 1
-1.94854, 0.00811402, -12.9394, 205, 205, 20, 1
-1.728, 0.0143, -12.9433, 205, 205, 20, 1
-1.69093, 0.0270476, -12.939, 205, 205, 20, 1
-1.6785, 0.0345001, -12.9545, 205, 205, 20, 1
-1.98385, 0.055375, -12.94, 205, 205, 20, 1
-1.72933, 0.0608333, -12.9485, 205, 205, 20, 1
-1.6905, 0.0495, -12.948, 205, 205, 20, 1
-1.679, 0.0478333, -12.9558, 205, 205, 20, 1
-1.99275, 0.0987857, -12.9345, 205, 205, 20, 1
-1.696, 0.0935, -12.9435, 205, 205, 20, 1
-1.657, 0.1055, -12.9345, 205, 205, 20, 1
-2, 0.1265, -12.9465, 205, 205, 20, 1
-1.99248, 0.137869, -12.9408, 205, 205, 20, 1
-1.731, 0.1325, -12.9445, 205, 205, 20, 1
-1.65375, 0.12525, -12.9427, 205, 205, 20, 1
-1.96424, 0.192534, -12.9295, 205, 205, 20, 1
-1.94206, 0.216774, -12.9293, 205, 205, 20, 1
-1.91645, 0.237409, -12.9275, 205, 205, 20, 1
-1.68788, 0.232, -12.9541, 205, 205, 20, 1
-1.6735, 0.2149, -12.9545, 205, 205, 20, 1
-1.89687, 0.253561, -12.9384, 205, 205, 20, 1
-1.86103, 0.271664, -12.9389, 205, 205, 20, 1
-1.83286, 0.278757, -12.937, 205, 205, 20, 1
-1.77151, 0.277585, -12.9375, 205, 205, 20, 1
-1.7417, 0.269974, -12.9366, 205, 205, 20, 1
-1.70758, 0.254, -12.9417, 205, 205, 20, 1
-1.81683, 0.282238, -12.9401, 205, 205, 20, 1
-1.78629, 0.284405, -12.9461, 205, 205, 20, 1
-1.74733, 0.289033, -12.9376, 205, 205, 20, 1
-1.719, 0.2925, -12.9295, 205, 205, 20, 1
-1.85592, -0.0436487, -12.9, 205, 205, 20, 1
-1.82074, -0.0454143, -12.9002, 205, 205, 20, 1
-1.78576, -0.0466428, -12.9015, 205, 205, 20, 1
-1.7528, -0.0611, -12.8967, 205, 205, 20, 1
-1.6935, -0.0615, -12.9035, 205, 205, 20, 1
-1.92827, -0.0061445, -12.901, 205, 205, 20, 1
-1.90145, -0.0256392, -12.8993, 205, 205, 20, 1
-1.87546, -0.0380833, -12.8977, 205, 205, 20, 1
-1.7718, -0.03614, -12.8991, 205, 205, 20, 1
-1.75322, -0.0299445, -12.8983, 205, 205, 20, 1
-1.69318, -0.0171364, -12.8961, 205, 205, 20, 1
-1.663, -0.0145, -12.8905, 205, 205, 20, 1
-1.96722, 0.02918, -12.902, 205, 205, 20, 1
-1.94712, 0.0101923, -12.9005, 205, 205, 20, 1
-1.68975, 0.0265, -12.9116, 205, 205, 20, 1
-1.666, 0.00949989, -12.8865, 205, 205, 20, 1
-1.97983, 0.0544, -12.9048, 205, 205, 20, 1
-1.66367, 0.0575001, -12.8852, 205, 205, 20, 1
-1.99154, 0.107714, -12.901, 205, 205, 20, 1
