type, ID, parentID, startX, startY, startZ, endX, endY, endZ, radius, volume, growthVolume, length, growthLength, vesselVolume, distanceToTwig, FittingType, averagePointDistance, maxPointDistance, qualityFlag,segmentID, parentSegmentID, segmentMedianRadius, segmentGrowthVolume, segmentGrowthLength, branchOrder, reverseBranchOrder, reversePipeRadiusBranchorder, reversePipeAreaBranchorder, branchID, treeID, treeSpecies, translateX, translateY, translatez, gvA, gvB, gvC, glA, glB, glC
cylinder, 0, -1, -1.828830, 0.117410, -13.062072, -1.806818, 0.114962, -12.887093, 0.167326, 0.015514, 1.328935, 0.176375, 65.921766, 409.890984, 21.431134, SPHEREFOLLOWING, 0.005462, 0.018194, 1, 0, -1, 0.147836, 0.988220, 61.303134, 0, 7, 4.690416, 22, 0, 0, unknownSpecies, -11.846800, -2.013600, -13.038500, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 1, 0, -1.806818, 0.114962, -12.887093, -1.813591, 0.121482, -12.681554, 0.165460, 0.017696, 1.313421, 0.205754, 65.745390, 406.010730, 21.254759, SPHEREFOLLOWING, 0.006906, 0.018194, 1, 0, -1, 0.147836, 0.988220, 61.303134, 0, 7, 4.690416, 22, 0, 0, unknownSpecies, -11.846800, -2.013600, -13.038500, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 2, 1, -1.813591, 0.121482, -12.681554, -1.804127, 0.126729, -12.511527, 0.154135, 0.012716, 1.295725, 0.170371, 65.539637, 401.484150, 21.049006, SPHEREFOLLOWING, 0.007246, 0.018194, 1, 0, -1, 0.147836, 0.988220, 61.303134, 0, 7, 4.690416, 22, 0, 0, unknownSpecies, -11.846800, -2.013600, -13.038500, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 3, 2, -1.804127, 0.126729, -12.511527, -1.801646, 0.131396, -12.341902, 0.157093, 0.013157, 1.283009, 0.169708, 65.369266, 397.735993, 20.878635, SPHEREFOLLOWING, 0.006284, 0.018194, 1, 0, -1, 0.147836, 0.988220, 61.303134, 0, 7, 4.690416, 22, 0, 0, unknownSpecies, -11.846800, -2.013600, -13.038500, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 4, 3, -1.801646, 0.131396, -12.341902, -1.791924, 0.129751, -12.162146, 0.148264, 0.012433, 1.269852, 0.180026, 65.199558, 394.002425, 20.708927, SPHEREFOLLOWING, 0.006795, 0.018194, 1, 0, -1, 0.147836, 0.988220, 61.303134, 0, 7, 4.690416, 22, 0, 0, unknownSpecies, -11.846800, -2.013600, -13.038500, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 5, 4, -1.791924, 0.129751, -12.162146, -1.784126, 0.140933, -12.009960, 0.155532, 0.011612, 1.257419, 0.152795, 65.019532, 390.041846, 20.528901, SPHEREFOLLOWING, 0.004523, 0.018194, 1, 0, -1, 0.147836, 0.988220, 61.303134, 0, 7, 4.690416, 22, 0, 0, unknownSpecies, -11.846800, -2.013600, -13.038500, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 6, 5, -1.784126, 0.140933, -12.009960, -1.779455, 0.147945, -11.845644, 0.155137, 0.012440, 1.245808, 0.164532, 64.866737, 386.680358, 20.376106, SPHEREFOLLOWING, 0.005427, 0.018194, 1, 0, -1, 0.147836, 0.988220, 61.303134, 0, 7, 4.690416, 22, 0, 0, unknownSpecies, -11.846800, -2.013600, -13.038500, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 7, 6, -1.779455, 0.147945, -11.845644, -1.769346, 0.160047, -11.674661, 0.158448, 0.013543, 1.233367, 0.171709, 64.702205, 383.060653, 20.211574, SPHEREFOLLOWING, 0.009224, 0.018194, 1, 0, -1, 0.147836, 0.988220, 61.303134, 0, 7, 4.690416, 22, 0, 0, unknownSpecies, -11.846800, -2.013600, -13.038500, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 8, 7, -1.769346, 0.160047, -11.674661, -1.751192, 0.160292, -11.489455, 0.147817, 0.012774, 1.219824, 0.186093, 64.530496, 379.283058, 20.039865, SPHEREFOLLOWING, 0.005235, 0.018194, 1, 0, -1, 0.147836, 0.988220, 61.303134, 0, 7, 4.690416, 22, 0, 0, unknownSpecies, -11.846800, -2.013600, -13.038500, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 9, 8, -1.751192, 0.160292, -11.489455, -1.752156, 0.171037, -11.342155, 0.155507, 0.011221, 1.207050, 0.147694, 64.344403, 375.189007, 19.853772, SPHEREFOLLOWING, 0.007622, 0.018194, 1, 0, -1, 0.147836, 0.988220, 61.303134, 0, 7, 4.690416, 22, 0, 0, unknownSpecies, -11.846800, -2.013600, -13.038500, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
